year,resid,age,gender,race,educ1,urban,region,income,union,religion,martial_status,occup2,partyid7,str_partyid,dlikes,rlikes,presvote_2party,ideo7,perfin1
1992,278,31,1,1,4,2,1,2,2,1,2,2,3,2,5,-4,1,2,3
1992,279,35,2,1,4,2,3,3,1,1,3,1,5,2,-3,-1,2,6,3
1992,282,68,2,1,2,1,3, ,2,4,1,6,1,4,3,-2, ,6,2
1992,283,65,1,1,4,1,4,4,2,1,1,1,7,4,1,2,2,5,2
1992,285,43,1,1,2,3,2,3,2,2,2,5,4,1,2,-2,1,6,3
1992,286,63,2,1,2,3,2,2,2,1,1,2,5,2,-2,4, , ,2
1992,287,79,2,1,3,3,4, ,2,1,5,1,5,2,1,3,2, ,2
1992,288,59,1,1,4,3,4,4,1,1,1,1,7,4,2,-2,1,7,3
1992,289,45,2,1,4,3,1,3,1,2,3,1,2,3,4,-2,1,4,3
1992,290,35,1,1,2,3,3,4,2,4,3,1,7,4,0,1, ,6,1
1992,291,54,2,1,3,3,3,3,2,1,3,2,2,3,4,-5,1, ,3
1992,292,65,1,1,1,3,3,3,2,1,5,3,2,3,1,0, ,6,3
1992,293,57,2,1,2,3,3,3, ,1,1,5,7,4,-4,4,2,6,2
1992,295,60,2,1,3,1,4,2,2,2,3,2,1,4,4,-5,1,1,2
1992,296,60,2,5,2,2,4,4,2,2,1,3,2,3,-1,-2, ,4,3
1992,298,22,2,1,2,2,4, ,1,1,1,2,4,1,0,0,1,3,1
1992,299,49,2,1,3,2,2,5,2,1,1,1,6,3,0,3,2,4,1
1992,300,31,2,1,2,2,2,4,2,2,7,2,4,1,0,0,1,2,1
1992,301,58,1,1,2,3,2,3,2, ,1,2,2,3,-1,-2,2,7, 
1992,302,31,2,1,3,1,3,4,2,2,1,1,2,3,1,0,1,4,1
1992,303,59,2,1,4,1,3,4,2,1,3,1,6,3,-2,3,2,5,3
1992,304,66,1,5,2,2,4,3,2,2,1,3,2,3,3,-1, ,5,3
1992,305,31,1,1,2,1,4,3,2,2,3,3,1,4,0,0, ,6,3
1992,306,39,1,1,2,3,1,4,2,1,1,1,3,2,-2,-1, ,3,2
1992,307,40,1,1,3,3,1,4,1,2,1,2,1,4,1,-1,1,4,3
1992,308,22,2,1,3,1,2,4,1,1,1,2,3,2,0,2, ,2,1
1992,309,33,1,2,4,1,3,4,1,1,1,2,4,1,1,-3,1,4,3
1992,310,68,1,1,2,3,1,4,2,2,1,3,2,3,0,0,1,4,2
1992,313,27,2,1,2,3,3,4,2,1,1,2,6,3,2,0,1,4,2
1992,314,45,1,1,4,2,1,4,2,2,4,2,2,3,-4,1,2,4,2
1992,315,74,1,1,2,2,1,2,2,2,5,3,2,3,1,-2,1,4,2
1992,316,18,1,1,2,1,3,4,2,1,2,3,7,4,-2,3,2,6,1
1992,317,21,1,5,3,1,3,3,2,1,2, ,7,4,-3,2,2,6,1
1992,318,66,1,2,2,1,3,1,2,1,5,3,1,4,4,0, ,6,3
1992,319,65,2,1,2,2,3,3,2,1,1,2,4,1,0,4,2,4,2
1992,322,37,1,1,4,1,4,4,2,1,1,1,7,4,0,1,2,6,2
1992,323,34,1,1,4,1,4,4,2,1,1,1,7,4,-2,2,2,6,1
1992,324,25,2,5,2,2,3,4,1,4,1,2,3,2,5,-2,1,6,1
1992,326,35,2,1,2,2,2,3,2,1,1,2,6,3,-1,1,2,6,1
1992,327,22,2,1, ,3,3,1,2,1,2,3,6,3,4,2, ,2,1
1992,328,38,1,1,2,3,3,3,2,1,1,3,1,4,3,-3, ,6,2
1992,329,44,1,4,4,3,3,3,2,1,1,3,2,3,5,-4,1,2,1
1992,330,40,2,2,2,3,3,1,2,1,3,6,4,1,2,0, ,1,2
1992,331,29,2,1,3,2,4,4,2,1,7,2,3,2,2,-2,1,2,2
1992,332,22,2,1,3,2,2,2,2,2,2,3,3,2,2,-4, ,4,3
1992,333,28,1,1,3,2,2, ,2,2,2, ,6,3,-2,-2, ,5,3
1992,334,40,2,1,4,1,3,4,2,2,1,6,2,3,1,-1,1,4,2
1992,335,32,2,1,3,2,2,4,2,2,1,2,6,3,-3,0,2,6,1
1992,336,46,2,1,3,2,2,3,2,1,1,3,7,4,-5,4,2,6,1
