S/N,Project Name,Street Name,Type,Postal District,Market Segment,Tenure,No. of Units,Price ($),Area (Sqft),Type of Area,Floor Level,Unit Price ($psf),Date of Option Exercised / Sales Agreement Signed,unit price bin,Tenure 2
1171,THE TEMBUSU,TAMPINES ROAD,Condominium,19,OCR,Freehold,1,1578780,1055,Strata,01 to 05,1497,11/1/2013,1000-1499,>900 / Freehold
1172,KENSINGTON SQUARE,JALAN LOKAM,Apartment,19,OCR,Freehold,1,1080000,904,Strata,01 to 05,1194,11/1/2013,1000-1499,>900 / Freehold
1173,JADE RESIDENCES,LEW LIAN VALE,Apartment,19,OCR,Freehold,1,898278,592,Strata,01 to 05,1517,11/1/2013,1500-1999,>900 / Freehold
1176,KOVAN RESIDENCES,KOVAN ROAD,Condominium,19,OCR,99 yrs lease commencing from 2007,1,2280000,1776,Strata,11 to 15,1284,11/1/2013,1000-1499,<105
1179,MIDTOWN RESIDENCES,UPPER SERANGOON ROAD,Apartment,19,OCR,99 yrs lease commencing from 2013,1,865355,657,Strata,01 to 05,1318,11/1/2013,1000-1499,<105
1180,JEWEL @ BUANGKOK,COMPASSVALE BOW,Condominium,19,OCR,99 yrs lease commencing from 2012,1,979400,775,Strata,11 to 15,1264,11/1/2013,1000-1499,<105
1182,KENSINGTON SQUARE,JALAN LOKAM,Apartment,19,OCR,Freehold,1,967050,614,Strata,01 to 05,1576,11/1/2013,1500-1999,>900 / Freehold
1183,MIDTOWN RESIDENCES,UPPER SERANGOON ROAD,Apartment,19,OCR,99 yrs lease commencing from 2013,1,1036000,883,Strata,11 to 15,1174,11/1/2013,1000-1499,<105
1184,MIDTOWN RESIDENCES,UPPER SERANGOON ROAD,Apartment,19,OCR,99 yrs lease commencing from 2013,1,828305,646,Strata,06 to 10,1283,11/1/2013,1000-1499,<105
1187,RIVERSAILS,UPPER SERANGOON CRESCENT,Condominium,19,OCR,99 yrs lease commencing from 2011,1,860310,883,Strata,11 to 15,975,11/1/2013,500-999,<105
1188,THE TEMBUSU,TAMPINES ROAD,Condominium,19,OCR,Freehold,1,768000,474,Strata,06 to 10,1622,11/1/2013,1500-1999,>900 / Freehold
1189,THE TEMBUSU,TAMPINES ROAD,Condominium,19,OCR,Freehold,1,784000,484,Strata,06 to 10,1619,11/1/2013,1500-1999,>900 / Freehold
1190,RIVERSAILS,UPPER SERANGOON CRESCENT,Condominium,19,OCR,99 yrs lease commencing from 2011,1,845300,850,Strata,16 to 20,994,11/1/2013,500-999,<105
1193,RIVERVALE CREST,RIVERVALE CRESCENT,Apartment,19,OCR,99 yrs lease commencing from 1997,1,1130000,1367,Strata,11 to 15,827,11/1/2013,500-999,<105
1194,EVERGREEN PARK,HOUGANG AVENUE 7,Apartment,19,OCR,99 yrs lease commencing from 1995,1,1150000,1346,Strata,06 to 10,855,11/1/2013,500-999,<105
1196,LA FIESTA,SENGKANG SQUARE,Condominium,19,OCR,99 yrs lease commencing from 2012,1,1297000,1098,Strata,11 to 15,1181,11/1/2013,1000-1499,<105
1197,THE MINTON,HOUGANG STREET 11,Condominium,19,OCR,99 yrs lease commencing from 2007,1,1280000,1109,Strata,11 to 15,1155,11/1/2013,1000-1499,<105
1198,THE TEMBUSU,TAMPINES ROAD,Condominium,19,OCR,Freehold,1,769000,484,Strata,06 to 10,1588,11/1/2013,1500-1999,>900 / Freehold
1199,THE TEMBUSU,TAMPINES ROAD,Condominium,19,OCR,Freehold,1,777000,484,Strata,06 to 10,1604,11/1/2013,1500-1999,>900 / Freehold
1200,CHUAN PARK,LORONG CHUAN,Condominium,19,OCR,99 yrs lease commencing from 1980,1,840000,710,Strata,01 to 05,1182,11/1/2013,1000-1499,<105
1201,JEWEL @ BUANGKOK,COMPASSVALE BOW,Condominium,19,OCR,99 yrs lease commencing from 2012,1,1807960,1636,Strata,01 to 05,1105,11/1/2013,1000-1499,<105
1202,THE TEMBUSU,TAMPINES ROAD,Condominium,19,OCR,Freehold,1,1700000,1044,Strata,11 to 15,1628,11/1/2013,1500-1999,>900 / Freehold
1203,THE MINTON,HOUGANG STREET 11,Condominium,19,OCR,99 yrs lease commencing from 2007,1,1103000,980,Strata,01 to 05,1126,11/1/2013,1000-1499,<105
1204,SUNGLADE,SERANGOON AVENUE 2,Condominium,19,OCR,99 yrs lease commencing from 2000,1,1460000,1163,Strata,11 to 15,1256,11/1/2013,1000-1499,<105
1205,JEWEL @ BUANGKOK,COMPASSVALE BOW,Condominium,19,OCR,99 yrs lease commencing from 2012,1,1863400,1636,Strata,11 to 15,1139,11/1/2013,1000-1499,<105
1206,THE MINTON,HOUGANG STREET 11,Condominium,19,OCR,99 yrs lease commencing from 2007,1,800000,624,Strata,06 to 10,1281,11/1/2013,1000-1499,<105
1207,A TREASURE TROVE,PUNGGOL WALK,Condominium,19,OCR,99 yrs lease commencing from 2011,1,1373000,1528,Strata,01 to 05,898,11/1/2013,500-999,<105
1208,JADE RESIDENCES,LEW LIAN VALE,Apartment,19,OCR,Freehold,1,887602,592,Strata,01 to 05,1499,11/1/2013,1000-1499,>900 / Freehold
1214,LA FIESTA,SENGKANG SQUARE,Condominium,19,OCR,99 yrs lease commencing from 2012,1,1123880,990,Strata,06 to 10,1135,11/1/2013,1000-1499,<105
1217,COMPASS HEIGHTS,SENGKANG SQUARE,Apartment,19,OCR,99 yrs lease commencing from 2000,1,930000,1055,Strata,06 to 10,882,11/1/2013,500-999,<105
1218,JADE RESIDENCES,LEW LIAN VALE,Apartment,19,OCR,Freehold,1,892191,592,Strata,01 to 05,1507,11/1/2013,1500-1999,>900 / Freehold
1219,JADE RESIDENCES,LEW LIAN VALE,Apartment,19,OCR,Freehold,1,875709,592,Strata,01 to 05,1479,11/1/2013,1000-1499,>900 / Freehold
1220,LA FIESTA,SENGKANG SQUARE,Condominium,19,OCR,99 yrs lease commencing from 2012,1,897200,732,Strata,01 to 05,1226,11/1/2013,1000-1499,<105
1229,THE SCALA,SERANGOON AVENUE 3,Apartment,19,OCR,99 yrs lease commencing from 2010,1,1480000,1044,Strata,16 to 20,1417,11/1/2013,1000-1499,<105
1230,CHILTERN PARK,SERANGOON AVENUE 3,Condominium,19,OCR,99 yrs lease commencing from 1991,1,1150000,1249,Strata,06 to 10,921,11/1/2013,500-999,<105
1231,THE TEMBUSU,TAMPINES ROAD,Condominium,19,OCR,Freehold,1,1923000,1216,Strata,11 to 15,1581,11/1/2013,1500-1999,>900 / Freehold
1235,JADE RESIDENCES,LEW LIAN VALE,Apartment,19,OCR,Freehold,1,1626115,1130,Strata,01 to 05,1439,11/1/2013,1000-1499,>900 / Freehold
1237,THE TEMBUSU,TAMPINES ROAD,Condominium,19,OCR,Freehold,1,787000,474,Strata,11 to 15,1662,11/1/2013,1500-1999,>900 / Freehold
1238,THE BENTLY RESIDENCES@KOVAN,KOVAN ROAD,Apartment,19,OCR,Freehold,1,640000,441,Strata,01 to 05,1450,11/1/2013,1000-1499,>900 / Freehold
1239,THE QUARTZ,COMPASSVALE BOW,Condominium,19,OCR,99 yrs lease commencing from 2005,1,1100000,1044,Strata,16 to 20,1054,11/1/2013,1000-1499,<105
1240,LA FIESTA,SENGKANG SQUARE,Condominium,19,OCR,99 yrs lease commencing from 2012,1,885000,732,Strata,11 to 15,1209,11/1/2013,1000-1499,<105
1241,THE BENTLY RESIDENCES@KOVAN,KOVAN ROAD,Apartment,19,OCR,Freehold,1,686100,441,Strata,01 to 05,1555,11/1/2013,1500-1999,>900 / Freehold
1244,EVERGREEN PARK,HOUGANG AVENUE 7,Apartment,19,OCR,99 yrs lease commencing from 1995,1,850000,1023,Strata,06 to 10,831,11/1/2013,500-999,<105
1245,CAMBIO SUITES,LIM TUA TOW ROAD,Apartment,19,OCR,Freehold,1,1080000,850,Strata,01 to 05,1270,11/1/2013,1000-1499,>900 / Freehold
1247,LA FIESTA,SENGKANG SQUARE,Condominium,19,OCR,99 yrs lease commencing from 2012,1,884000,732,Strata,06 to 10,1208,11/1/2013,1000-1499,<105
1248,RIVERSAILS,UPPER SERANGOON CRESCENT,Condominium,19,OCR,99 yrs lease commencing from 2011,1,841350,850,Strata,11 to 15,989,11/1/2013,500-999,<105
1249,THE TEMBUSU,TAMPINES ROAD,Condominium,19,OCR,Freehold,1,1583000,1044,Strata,01 to 05,1516,11/1/2013,1500-1999,>900 / Freehold
1250,RIO VISTA,UPPER SERANGOON VIEW,Condominium,19,OCR,99 yrs lease commencing from 2001,1,1190000,1249,Strata,11 to 15,953,11/1/2013,500-999,<105
1251,LA FIESTA,SENGKANG SQUARE,Condominium,19,OCR,99 yrs lease commencing from 2012,1,880000,732,Strata,11 to 15,1202,11/1/2013,1000-1499,<105
1252,LA FIESTA,SENGKANG SQUARE,Condominium,19,OCR,99 yrs lease commencing from 2012,1,885000,753,Strata,11 to 15,1175,11/1/2013,1000-1499,<105
1254,JADE RESIDENCES,LEW LIAN VALE,Apartment,19,OCR,Freehold,1,1204977,829,Strata,01 to 05,1454,10/1/2013,1000-1499,>900 / Freehold
1255,RIO VISTA,UPPER SERANGOON VIEW,Condominium,19,OCR,99 yrs lease commencing from 2001,1,910000,1055,Strata,01 to 05,863,10/1/2013,500-999,<105
1256,THE QUARTZ,COMPASSVALE BOW,Condominium,19,OCR,99 yrs lease commencing from 2005,1,1260000,1195,Strata,11 to 15,1055,10/1/2013,1000-1499,<105
1257,TANGERINE GROVE,PAYA LEBAR CRESCENT,Condominium,19,OCR,Freehold,1,1500000,1195,Strata,01 to 05,1255,10/1/2013,1000-1499,>900 / Freehold
1262,KENSINGTON SQUARE,JALAN LOKAM,Apartment,19,OCR,Freehold,1,1050000,904,Strata,01 to 05,1161,10/1/2013,1000-1499,>900 / Freehold
1263,CAMBIO SUITES,LIM TUA TOW ROAD,Apartment,19,OCR,Freehold,1,1560000,1432,Strata,01 to 05,1090,10/1/2013,1000-1499,>900 / Freehold
1267,THE TEMBUSU,TAMPINES ROAD,Condominium,19,OCR,Freehold,1,1215000,753,Strata,06 to 10,1613,10/1/2013,1500-1999,>900 / Freehold
1268,THE TEMBUSU,TAMPINES ROAD,Condominium,19,OCR,Freehold,1,2205000,1367,Strata,06 to 10,1613,10/1/2013,1500-1999,>900 / Freehold
1269,THE TEMBUSU,TAMPINES ROAD,Condominium,19,OCR,Freehold,1,735000,484,Strata,01 to 05,1517,10/1/2013,1500-1999,>900 / Freehold
1270,THE TEMBUSU,TAMPINES ROAD,Condominium,19,OCR,Freehold,1,1663800,1044,Strata,06 to 10,1594,10/1/2013,1500-1999,>900 / Freehold
1271,THE TEMBUSU,TAMPINES ROAD,Condominium,19,OCR,Freehold,1,793000,474,Strata,06 to 10,1674,10/1/2013,1500-1999,>900 / Freehold
1272,THE TEMBUSU,TAMPINES ROAD,Condominium,19,OCR,Freehold,1,1807000,1130,Strata,11 to 15,1599,10/1/2013,1500-1999,>900 / Freehold
1274,LA FIESTA,SENGKANG SQUARE,Condominium,19,OCR,99 yrs lease commencing from 2012,1,910000,753,Strata,01 to 05,1208,10/1/2013,1000-1499,<105
1275,LA FIESTA,SENGKANG SQUARE,Condominium,19,OCR,99 yrs lease commencing from 2012,1,1020000,829,Strata,11 to 15,1231,10/1/2013,1000-1499,<105
1276,THE TEMBUSU,TAMPINES ROAD,Condominium,19,OCR,Freehold,1,753000,484,Strata,06 to 10,1555,10/1/2013,1500-1999,>900 / Freehold
1280,KENSINGTON SQUARE,JALAN LOKAM,Apartment,19,OCR,Freehold,1,893370,614,Strata,01 to 05,1456,10/1/2013,1000-1499,>900 / Freehold
1281,MIDTOWN RESIDENCES,UPPER SERANGOON ROAD,Apartment,19,OCR,99 yrs lease commencing from 2013,1,875000,657,Strata,06 to 10,1333,10/1/2013,1000-1499,<105
1282,JADE RESIDENCES,LEW LIAN VALE,Apartment,19,OCR,Freehold,1,1686799,1292,Strata,01 to 05,1306,10/1/2013,1000-1499,>900 / Freehold
1284,EVERGREEN PARK,HOUGANG AVENUE 7,Apartment,19,OCR,99 yrs lease commencing from 1995,1,890000,1173,Strata,06 to 10,759,10/1/2013,500-999,<105
1286,LA FIESTA,SENGKANG SQUARE,Condominium,19,OCR,99 yrs lease commencing from 2012,1,881800,753,Strata,11 to 15,1170,10/1/2013,1000-1499,<105
1287,LA FIESTA,SENGKANG SQUARE,Condominium,19,OCR,99 yrs lease commencing from 2012,1,1313000,1098,Strata,11 to 15,1196,10/1/2013,1000-1499,<105
1288,JEWEL @ BUANGKOK,COMPASSVALE BOW,Condominium,19,OCR,99 yrs lease commencing from 2012,1,653640,484,Strata,01 to 05,1349,10/1/2013,1000-1499,<105
1289,THE TEMBUSU,TAMPINES ROAD,Condominium,19,OCR,Freehold,1,735000,484,Strata,01 to 05,1517,10/1/2013,1500-1999,>900 / Freehold
1290,RIVERSAILS,UPPER SERANGOON CRESCENT,Condominium,19,OCR,99 yrs lease commencing from 2011,1,1346000,1819,Strata,16 to 20,740,10/1/2013,500-999,<105
1295,JADE RESIDENCES,LEW LIAN VALE,Apartment,19,OCR,Freehold,1,1686799,1292,Strata,01 to 05,1306,10/1/2013,1000-1499,>900 / Freehold
1297,VIBES @ KOVAN,KOVAN ROAD,Apartment,19,OCR,Freehold,1,1120000,818,Strata,01 to 05,1369,10/1/2013,1000-1499,>900 / Freehold
1298,MIDTOWN RESIDENCES,UPPER SERANGOON ROAD,Apartment,19,OCR,99 yrs lease commencing from 2013,1,827000,646,Strata,06 to 10,1281,10/1/2013,1000-1499,<105
1301,KENSINGTON SQUARE,JALAN LOKAM,Apartment,19,OCR,Freehold,1,1070000,904,Strata,01 to 05,1183,10/1/2013,1000-1499,>900 / Freehold
1303,JADE RESIDENCES,LEW LIAN VALE,Apartment,19,OCR,Freehold,1,1258076,861,Strata,01 to 05,1461,10/1/2013,1000-1499,>900 / Freehold
1304,LA FIESTA,SENGKANG SQUARE,Condominium,19,OCR,99 yrs lease commencing from 2012,1,978000,980,Strata,01 to 05,998,10/1/2013,500-999,<105
1305,A TREASURE TROVE,PUNGGOL WALK,Condominium,19,OCR,99 yrs lease commencing from 2011,1,1036000,1528,Strata,16 to 20,678,10/1/2013,500-999,<105
1310,KENSINGTON SQUARE,JALAN LOKAM,Apartment,19,OCR,Freehold,1,1089320,904,Strata,01 to 05,1205,10/1/2013,1000-1499,>900 / Freehold
1311,COMPASS HEIGHTS,SENGKANG SQUARE,Apartment,19,OCR,99 yrs lease commencing from 2000,1,1500000,1862,Strata,01 to 05,806,10/1/2013,500-999,<105
1312,HILLSIDE MANSIONS,HILLSIDE DRIVE,Apartment,19,OCR,Freehold,1,1080000,1141,Strata,01 to 05,947,10/1/2013,500-999,>900 / Freehold
1313,MINT RESIDENCES @ JANSEN,JANSEN ROAD,Apartment,19,OCR,999 yrs lease commencing from 1878,1,1380000,1270,Strata,01 to 05,1086,10/1/2013,1000-1499,>900 / Freehold
1314,MIDTOWN RESIDENCES,UPPER SERANGOON ROAD,Apartment,19,OCR,99 yrs lease commencing from 2013,1,800888,646,Strata,01 to 05,1240,10/1/2013,1000-1499,<105
1316,MIDTOWN RESIDENCES,UPPER SERANGOON ROAD,Apartment,19,OCR,99 yrs lease commencing from 2013,1,867065,657,Strata,06 to 10,1321,10/1/2013,1000-1499,<105
1318,KENSINGTON SQUARE,JALAN LOKAM,Apartment,19,OCR,Freehold,1,888000,710,Strata,01 to 05,1250,10/1/2013,1000-1499,>900 / Freehold
1319,MIDTOWN RESIDENCES,UPPER SERANGOON ROAD,Apartment,19,OCR,99 yrs lease commencing from 2013,1,860890,657,Strata,06 to 10,1311,10/1/2013,1000-1499,<105
1320,A TREASURE TROVE,PUNGGOL WALK,Condominium,19,OCR,99 yrs lease commencing from 2011,1,1036000,1528,Strata,16 to 20,678,10/1/2013,500-999,<105
1321,RIVERSAILS,UPPER SERANGOON CRESCENT,Condominium,19,OCR,99 yrs lease commencing from 2011,1,1039640,1109,Strata,06 to 10,938,10/1/2013,500-999,<105
1324,JADE RESIDENCES,LEW LIAN VALE,Apartment,19,OCR,Freehold,1,2382282,1905,Strata,01 to 05,1250,10/1/2013,1000-1499,>900 / Freehold
1325,JADE RESIDENCES,LEW LIAN VALE,Apartment,19,OCR,Freehold,1,881608,592,Strata,01 to 05,1489,10/1/2013,1000-1499,>900 / Freehold
1326,SUNGLADE,SERANGOON AVENUE 2,Condominium,19,OCR,99 yrs lease commencing from 2000,1,1300000,1163,Strata,01 to 05,1118,10/1/2013,1000-1499,<105
1329,REGENTVILLE,HOUGANG STREET 92,Apartment,19,OCR,99 yrs lease commencing from 1996,1,930000,1152,Strata,06 to 10,807,10/1/2013,500-999,<105
1331,KENSINGTON SQUARE,JALAN LOKAM,Apartment,19,OCR,Freehold,1,868000,614,Strata,01 to 05,1415,10/1/2013,1000-1499,>900 / Freehold
1333,PALM GROVE CONDOMINIUM,PALM GROVE AVENUE,Condominium,19,OCR,999 yrs lease commencing from 1878,1,1520000,1389,Strata,01 to 05,1095,10/1/2013,1000-1499,>900 / Freehold
1335,A TREASURE TROVE,PUNGGOL WALK,Condominium,19,OCR,99 yrs lease commencing from 2011,1,1036000,1528,Strata,16 to 20,678,10/1/2013,500-999,<105
1336,LA FIESTA,SENGKANG SQUARE,Condominium,19,OCR,99 yrs lease commencing from 2012,1,1251800,1098,Strata,01 to 05,1140,10/1/2013,1000-1499,<105
1337,RIVERSAILS,UPPER SERANGOON CRESCENT,Condominium,19,OCR,99 yrs lease commencing from 2011,1,838190,850,Strata,11 to 15,986,10/1/2013,500-999,<105
1341,KENSINGTON SQUARE,JALAN LOKAM,Apartment,19,OCR,Freehold,1,1038000,904,Strata,01 to 05,1148,10/1/2013,1000-1499,>900 / Freehold
1342,THE QUINN,BARTLEY ROAD,Apartment,19,OCR,Freehold,1,1025340,570,Strata,01 to 05,1797,10/1/2013,1500-1999,>900 / Freehold
1343,THE BENTLY RESIDENCES@KOVAN,KOVAN ROAD,Apartment,19,OCR,Freehold,1,1550000,1076,Strata,01 to 05,1440,10/1/2013,1000-1499,>900 / Freehold
1344,JADE RESIDENCES,LEW LIAN VALE,Apartment,19,OCR,Freehold,1,1635293,1130,Strata,01 to 05,1447,10/1/2013,1000-1499,>900 / Freehold
1347,KOVAN RESIDENCES,KOVAN ROAD,Condominium,19,OCR,99 yrs lease commencing from 2007,1,1720000,1259,Strata,16 to 20,1366,10/1/2013,1000-1499,<105
1348,JEWEL @ BUANGKOK,COMPASSVALE BOW,Condominium,19,OCR,99 yrs lease commencing from 2012,1,705120,581,Strata,01 to 05,1213,10/1/2013,1000-1499,<105
1349,RIVERSOUND RESIDENCE,SENGKANG EAST AVENUE,Condominium,19,OCR,99 yrs lease commencing from 2011,1,931800,1066,Strata,01 to 05,874,10/1/2013,500-999,<105
1350,LA FIESTA,SENGKANG SQUARE,Condominium,19,OCR,99 yrs lease commencing from 2012,1,1048000,840,Strata,11 to 15,1248,10/1/2013,1000-1499,<105
1352,KENSINGTON SQUARE,JALAN LOKAM,Apartment,19,OCR,Freehold,1,1068000,904,Strata,01 to 05,1181,10/1/2013,1000-1499,>900 / Freehold
1356,THE TEMBUSU,TAMPINES ROAD,Condominium,19,OCR,Freehold,1,1232000,764,Strata,06 to 10,1612,10/1/2013,1500-1999,>900 / Freehold
1357,LA FIESTA,SENGKANG SQUARE,Condominium,19,OCR,99 yrs lease commencing from 2012,1,1127000,1001,Strata,06 to 10,1126,10/1/2013,1000-1499,<105
1358,THE CHUAN,LORONG CHUAN,Condominium,19,OCR,999 yrs lease commencing from 1877,1,1378000,936,Strata,06 to 10,1471,10/1/2013,1000-1499,>900 / Freehold
1359,STADIA,YIO CHU KANG ROAD,Apartment,19,OCR,Freehold,1,1068200,861,Strata,01 to 05,1240,10/1/2013,1000-1499,>900 / Freehold
1361,CAMBIO SUITES,LIM TUA TOW ROAD,Apartment,19,OCR,Freehold,1,1159730,904,Strata,01 to 05,1283,10/1/2013,1000-1499,>900 / Freehold
1363,THE TEMBUSU,TAMPINES ROAD,Condominium,19,OCR,Freehold,1,828000,474,Strata,11 to 15,1748,10/1/2013,1500-1999,>900 / Freehold
1364,LA FIESTA,SENGKANG SQUARE,Condominium,19,OCR,99 yrs lease commencing from 2012,1,1170000,1001,Strata,01 to 05,1169,10/1/2013,1000-1499,<105
1367,WATERTOWN,PUNGGOL CENTRAL,Apartment,19,OCR,99 yrs lease commencing from 2011,1,1805800,1281,Strata,11 to 15,1410,10/1/2013,1000-1499,<105
1368,EVERGREEN PARK,HOUGANG AVENUE 7,Apartment,19,OCR,99 yrs lease commencing from 1995,1,945000,1076,Strata,01 to 05,878,10/1/2013,500-999,<105
1369,KENSINGTON SQUARE,JALAN LOKAM,Apartment,19,OCR,Freehold,1,1068000,904,Strata,01 to 05,1181,10/1/2013,1000-1499,>900 / Freehold
1371,JADE RESIDENCES,LEW LIAN VALE,Apartment,19,OCR,Freehold,1,1276805,861,Strata,01 to 05,1483,10/1/2013,1000-1499,>900 / Freehold
1372,JADE RESIDENCES,LEW LIAN VALE,Apartment,19,OCR,Freehold,1,1094472,743,Strata,01 to 05,1474,10/1/2013,1000-1499,>900 / Freehold
1373,JADE RESIDENCES,LEW LIAN VALE,Apartment,19,OCR,Freehold,1,808843,527,Strata,01 to 05,1534,10/1/2013,1500-1999,>900 / Freehold
1374,JADE RESIDENCES,LEW LIAN VALE,Apartment,19,OCR,Freehold,1,803880,527,Strata,01 to 05,1524,10/1/2013,1500-1999,>900 / Freehold
1376,KENSINGTON SQUARE,JALAN LOKAM,Apartment,19,OCR,Freehold,1,1130000,904,Strata,01 to 05,1250,10/1/2013,1000-1499,>900 / Freehold
1377,THE TEMBUSU,TAMPINES ROAD,Condominium,19,OCR,Freehold,1,760480,474,Strata,01 to 05,1606,10/1/2013,1500-1999,>900 / Freehold
1382,KENSINGTON SQUARE,JALAN LOKAM,Apartment,19,OCR,Freehold,1,1198000,1033,Strata,01 to 05,1159,10/1/2013,1000-1499,>900 / Freehold
1384,JADE RESIDENCES,LEW LIAN VALE,Apartment,19,OCR,Freehold,1,875709,592,Strata,01 to 05,1479,10/1/2013,1000-1499,>900 / Freehold
1385,KENSINGTON SQUARE,JALAN LOKAM,Apartment,19,OCR,Freehold,1,1084800,904,Strata,01 to 05,1200,10/1/2013,1000-1499,>900 / Freehold
1386,KENSINGTON SQUARE,JALAN LOKAM,Apartment,19,OCR,Freehold,1,1130000,904,Strata,01 to 05,1250,10/1/2013,1000-1499,>900 / Freehold
1388,CHUAN PARK,LORONG CHUAN,Condominium,19,OCR,99 yrs lease commencing from 1980,1,800000,710,Strata,01 to 05,1126,10/1/2013,1000-1499,<105
1389,LA FIESTA,SENGKANG SQUARE,Condominium,19,OCR,99 yrs lease commencing from 2012,1,1118000,1001,Strata,11 to 15,1117,10/1/2013,1000-1499,<105
1390,JEWEL @ BUANGKOK,COMPASSVALE BOW,Condominium,19,OCR,99 yrs lease commencing from 2012,1,902180,721,Strata,11 to 15,1251,10/1/2013,1000-1499,<105
1391,MIDTOWN RESIDENCES,UPPER SERANGOON ROAD,Apartment,19,OCR,99 yrs lease commencing from 2013,1,834480,646,Strata,06 to 10,1292,10/1/2013,1000-1499,<105
1392,KENSINGTON SQUARE,JALAN LOKAM,Apartment,19,OCR,Freehold,1,1211440,797,Strata,01 to 05,1521,10/1/2013,1500-1999,>900 / Freehold
1399,ROSYTH LODGE,ROSYTH ROAD,Apartment,19,OCR,999 yrs lease commencing from 1886,1,1100000,1281,Strata,01 to 05,859,10/1/2013,500-999,>900 / Freehold
1400,THE QUINN,BARTLEY ROAD,Apartment,19,OCR,Freehold,1,1409970,786,Strata,01 to 05,1794,10/1/2013,1500-1999,>900 / Freehold
1402,THE SPRINGBLOOM,SERANGOON AVENUE 3,Condominium,19,OCR,99 yrs lease commencing from 1995,1,1238000,1119,Strata,16 to 20,1106,10/1/2013,1000-1499,<105
1403,FONTAINE PARRY,POH HUAT ROAD,Condominium,19,OCR,999 yrs lease commencing from 1877,1,1560000,1292,Strata,01 to 05,1208,10/1/2013,1000-1499,>900 / Freehold
1404,RIVERSAILS,UPPER SERANGOON CRESCENT,Condominium,19,OCR,99 yrs lease commencing from 2011,1,1057020,1109,Strata,11 to 15,953,10/1/2013,500-999,<105
1407,CAMBIO SUITES,LIM TUA TOW ROAD,Apartment,19,OCR,Freehold,1,1052640,797,Strata,01 to 05,1322,10/1/2013,1000-1499,>900 / Freehold
1409,THE QUARTZ,COMPASSVALE BOW,Condominium,19,OCR,99 yrs lease commencing from 2005,1,1120000,1066,Strata,06 to 10,1051,10/1/2013,1000-1499,<105
1410,THE TEMBUSU,TAMPINES ROAD,Condominium,19,OCR,Freehold,1,1926000,1216,Strata,11 to 15,1583,10/1/2013,1500-1999,>900 / Freehold
1414,THE SCALA,SERANGOON AVENUE 3,Apartment,19,OCR,99 yrs lease commencing from 2010,1,1212000,850,Strata,11 to 15,1425,10/1/2013,1000-1499,<105
1415,MIDTOWN RESIDENCES,UPPER SERANGOON ROAD,Apartment,19,OCR,99 yrs lease commencing from 2013,1,816050,646,Strata,01 to 05,1264,10/1/2013,1000-1499,<105
1416,KENSINGTON SQUARE,JALAN LOKAM,Apartment,19,OCR,Freehold,1,1183000,797,Strata,01 to 05,1485,10/1/2013,1000-1499,>900 / Freehold
1418,RIO VISTA,UPPER SERANGOON VIEW,Condominium,19,OCR,99 yrs lease commencing from 2001,1,1085000,1249,Strata,06 to 10,869,10/1/2013,500-999,<105
1419,RIVERSAILS,UPPER SERANGOON CRESCENT,Condominium,19,OCR,99 yrs lease commencing from 2011,1,685720,646,Strata,01 to 05,1062,10/1/2013,1000-1499,<105
1420,JEWEL @ BUANGKOK,COMPASSVALE BOW,Condominium,19,OCR,99 yrs lease commencing from 2012,1,1061720,872,Strata,11 to 15,1218,10/1/2013,1000-1499,<105
1423,THE SCALA,SERANGOON AVENUE 3,Apartment,19,OCR,99 yrs lease commencing from 2010,1,766000,474,Strata,06 to 10,1617,10/1/2013,1500-1999,<105
1426,MIDTOWN RESIDENCES,UPPER SERANGOON ROAD,Apartment,19,OCR,99 yrs lease commencing from 2013,1,916275,689,Strata,06 to 10,1330,10/1/2013,1000-1499,<105
1427,FONTAINE PARRY,POH HUAT ROAD,Condominium,19,OCR,999 yrs lease commencing from 1877,1,1250000,1238,Strata,01 to 05,1010,10/1/2013,1000-1499,>900 / Freehold
1428,RIVERSAILS,UPPER SERANGOON CRESCENT,Condominium,19,OCR,99 yrs lease commencing from 2011,1,1077560,1109,Strata,16 to 20,972,10/1/2013,500-999,<105
1432,JEWEL @ BUANGKOK,COMPASSVALE BOW,Condominium,19,OCR,99 yrs lease commencing from 2012,1,1119300,1087,Strata,01 to 05,1030,10/1/2013,1000-1499,<105
1433,KOVAN RESIDENCES,KOVAN ROAD,Condominium,19,OCR,99 yrs lease commencing from 2007,1,2318000,1798,Strata,01 to 05,1290,10/1/2013,1000-1499,<105
1434,JEWEL @ BUANGKOK,COMPASSVALE BOW,Condominium,19,OCR,99 yrs lease commencing from 2012,1,1018710,872,Strata,06 to 10,1168,10/1/2013,1000-1499,<105
1435,JEWEL @ BUANGKOK,COMPASSVALE BOW,Condominium,19,OCR,99 yrs lease commencing from 2012,1,823680,721,Strata,01 to 05,1142,10/1/2013,1000-1499,<105
1436,RIVERSAILS,UPPER SERANGOON CRESCENT,Condominium,19,OCR,99 yrs lease commencing from 2011,1,1044380,1109,Strata,06 to 10,942,10/1/2013,500-999,<105
1437,KENSINGTON SQUARE,JALAN LOKAM,Apartment,19,OCR,Freehold,1,868000,710,Strata,01 to 05,1222,10/1/2013,1000-1499,>900 / Freehold
1438,THE CHUAN,LORONG CHUAN,Condominium,19,OCR,999 yrs lease commencing from 1877,1,2100000,1658,Strata,06 to 10,1267,10/1/2013,1000-1499,>900 / Freehold
