S/N,Project Name,Street Name,Type,Postal District,Market Segment,Tenure,No. of Units,Price ($),Area,Type of Area,Floor Level,Unit Price ($psf),Date of Option Exercised / Sales Agreement Signed
3162,SPRING GROVE,GRANGE ROAD,Condominium,10,CCR,99 yrs lease commencing from 1991,1,2600000,1668,Strata,01 to 05,1558,12-Apr
3163,LATITUDE,JALAN MUTIARA,Condominium,10,CCR,Freehold,1,5615300,2766,Strata,01 to 05,2030,12-Apr
3164,TOMLINSON HEIGHTS,TOMLINSON ROAD,Apartment,10,CCR,Freehold,1,11888380,4004,Strata,06 to 10,2969,12-Apr
3165,SOMMERVILLE PARK,FARRER DRIVE,Condominium,10,CCR,Freehold,1,3100000,1948,Strata,11 to 15,1591,12-Apr
3166,RIDGEWOOD,RIDGEWOOD CLOSE,Condominium,10,CCR,999 yrs lease commencing from 1885,1,1680000,1399,Strata,16 to 20,1201,12-Apr
3167,LATITUDE,JALAN MUTIARA,Condominium,10,CCR,Freehold,1,2912800,1324,Strata,11 to 15,2200,12-Apr
3168,THE LEGACY,BUKIT TIMAH ROAD,Apartment,10,CCR,Freehold,1,1344000,969,Strata,01 to 05,1387,12-Apr
3169,NASSIM JADE,NASSIM ROAD,Condominium,10,CCR,Freehold,1,7400000,3434,Strata,01 to 05,2155,12-Apr
3170,D'LEEDON,LEEDON HEIGHTS,Condominium,10,CCR,99 yrs lease commencing from 2010,1,1130200,635,Strata,21 to 25,1780,12-Apr
3171,AVALON,ANDERSON ROAD,Condominium,10,CCR,Freehold,1,1750000,1076,Strata,01 to 05,1626,12-Apr
3172,THE MERASAGA,JALAN MERAH SAGA,Condominium,10,CCR,99 yrs lease commencing from 1991,1,1880000,1378,Strata,06 to 10,1365,12-Apr
3173,THE MERCURY,SHANGHAI ROAD,Apartment,10,CCR,Freehold,1,1028000,635,Strata,11 to 15,1619,12-Apr
3174,THREE BALMORAL,BALMORAL ROAD,Apartment,10,CCR,Freehold,1,1520000,614,Strata,01 to 05,2477,12-Apr
3175,PROXIMO,ROBIN ROAD,Apartment,10,CCR,Freehold,1,2100000,1475,Strata,06 to 10,1424,12-Apr
3176,CASABELLA,DUCHESS AVENUE,Condominium,10,CCR,Freehold,1,3750000,3800,Strata,-,987,12-Apr
3177,ST MARTIN RESIDENCE,ST. MARTIN'S DRIVE,Condominium,10,CCR,Freehold,1,3750000,2885,Strata,01 to 05,1300,12-Apr
3178,VALLEY PARK,RIVER VALLEY ROAD,Condominium,10,CCR,999 yrs lease commencing from 1877,1,1200000,818,Strata,06 to 10,1467,12-Apr
3179,KING'S ARCADE,BUKIT TIMAH ROAD,Apartment,10,CCR,Freehold,1,1270000,1066,Strata,01 to 05,1192,12-Apr
3180,THE COTERIE @ HOLLAND,HOLLAND ROAD,Apartment,10,CCR,Freehold,1,1533300,807,Strata,06 to 10,1899,12-Apr
3181,SHEARES VILLE,HOLT ROAD,Apartment,10,CCR,Freehold,1,5400000,4704,Strata,11 to 15,1148,12-Apr
3182,WILLYN VILLE,HOLLAND AVENUE,Apartment,10,CCR,Freehold,1,1210000,861,Strata,01 to 05,1405,12-Apr
3183,SPRING GROVE,GRANGE ROAD,Condominium,10,CCR,99 yrs lease commencing from 1991,1,2250000,1389,Strata,16 to 20,1620,12-Apr
3184,THE TRIZON,RIDGEWOOD CLOSE,Condominium,10,CCR,Freehold,1,3427000,2207,Strata,06 to 10,1553,12-Apr
3185,ST MARTIN RESIDENCE,ST. MARTIN'S DRIVE,Condominium,10,CCR,Freehold,1,2520000,1066,Strata,01 to 05,2365,12-Apr
3186,VALLEY PARK,RIVER VALLEY ROAD,Condominium,10,CCR,999 yrs lease commencing from 1877,1,1710000,1173,Strata,01 to 05,1457,12-Apr
3187,DUCHESS CREST,DUCHESS AVENUE,Condominium,10,CCR,99 yrs lease commencing from 1995,1,1216800,936,Strata,01 to 05,1299,12-Apr
3188,BELMOND GREEN,BALMORAL ROAD,Condominium,10,CCR,Freehold,1,1830000,1076,Strata,06 to 10,1700,12-Apr
3189,DUCHESS RESIDENCES,DUCHESS AVENUE,Condominium,10,CCR,999 yrs lease commencing from 1875,1,4637600,2992,Strata,01 to 05,1550,12-Apr
3190,VENTUNO BALMORAL,BALMORAL ROAD,Apartment,10,CCR,Freehold,1,2190000,1313,Strata,06 to 10,1668,12-Apr
3191,THE MERCURY,SHANGHAI ROAD,Apartment,10,CCR,Freehold,1,1050000,635,Strata,11 to 15,1653,12-Apr
3192,THE MERCURY,SHANGHAI ROAD,Apartment,10,CCR,Freehold,1,1747492,1259,Strata,01 to 05,1388,12-Apr
3193,THE MERCURY,SHANGHAI ROAD,Apartment,10,CCR,Freehold,1,1650000,1044,Strata,06 to 10,1580,12-Apr
3194,LEEDON 2,LEEDON ROAD,Condominium,10,CCR,Freehold,1,1280000,840,Strata,06 to 10,1525,12-Apr
3195,THE MARBELLA,MOUNT SINAI RISE,Condominium,10,CCR,Freehold,1,2550000,1744,Strata,11 to 15,1462,12-Apr
3196,SPANISH VILLAGE,FARRER ROAD,Condominium,10,CCR,Freehold,1,2520000,1604,Strata,01 to 05,1571,12-Apr
3197,VILLA AZURA,CHERRY AVENUE,Condominium,10,CCR,Freehold,1,1610000,1335,Strata,01 to 05,1206,12-Apr
3198,THE TRIZON,RIDGEWOOD CLOSE,Condominium,10,CCR,Freehold,1,3478800,2174,Strata,06 to 10,1600,12-Apr
3199,BOTANIKA,HOLLAND ROAD,Apartment,10,CCR,Freehold,1,4750000,2099,Strata,01 to 05,2263,12-Apr
3200,JERVOIS REGENCY,JERVOIS ROAD,Apartment,10,CCR,Freehold,1,1650000,1173,Strata,01 to 05,1406,12-Apr
3201,THE TRIZON,RIDGEWOOD CLOSE,Condominium,10,CCR,Freehold,1,2080000,1335,Strata,01 to 05,1558,12-Apr
3202,THE LEVELZ,FARRER ROAD,Condominium,10,CCR,Freehold,1,1470000,980,Strata,01 to 05,1501,12-Apr
3203,DUCHESS CREST,DUCHESS AVENUE,Condominium,10,CCR,99 yrs lease commencing from 1995,1,2000000,1744,Strata,01 to 05,1147,12-Apr
3204,GALLOP GABLES,FARRER ROAD,Condominium,10,CCR,Freehold,1,5300000,3186,Strata,01 to 05,1663,12-Apr
3205,THE LEVELZ,FARRER ROAD,Condominium,10,CCR,Freehold,1,1200000,807,Strata,06 to 10,1486,12-Apr
3206,RV SUITES,RIVER VALLEY ROAD,Apartment,10,CCR,Freehold,1,880000,538,Strata,01 to 05,1635,12-Apr
3207,THE TESSARINA,WILBY ROAD,Condominium,10,CCR,Freehold,1,2100000,1679,Strata,01 to 05,1251,12-Apr
3208,NATHAN RESIDENCES,NATHAN ROAD,Apartment,10,CCR,Freehold,1,1240000,786,Strata,01 to 05,1578,12-Apr
3209,PROXIMO,ROBIN ROAD,Apartment,10,CCR,Freehold,1,1700000,1119,Strata,11 to 15,1519,12-Apr
3210,CHATEAU LE FAME,EWE BOON ROAD,Apartment,10,CCR,Freehold,1,1555000,1163,Strata,01 to 05,1338,12-Apr
3211,NASSIM 9,NASSIM ROAD,Apartment,10,CCR,Freehold,1,8800000,3143,Strata,01 to 05,2800,12-Apr
3212,THE MARBELLA,MOUNT SINAI RISE,Condominium,10,CCR,Freehold,1,1980000,1367,Strata,01 to 05,1448,12-Mar
3213,REGENCY PARK,NATHAN ROAD,Condominium,10,CCR,Freehold,1,5250000,3175,Strata,01 to 05,1653,12-Mar
3214,RV SUITES,RIVER VALLEY ROAD,Apartment,10,CCR,Freehold,1,905000,538,Strata,01 to 05,1682,12-Mar
3215,STEVENS SUITES,STEVENS CLOSE,Apartment,10,CCR,Freehold,1,2200000,1173,Strata,01 to 05,1875,12-Mar
3216,FERNHILL COURT,FERNHILL ROAD,Condominium,10,CCR,Freehold,1,3080000,2486,Strata,01 to 05,1239,12-Mar
3217,LEEDON 2,LEEDON ROAD,Condominium,10,CCR,Freehold,1,1500000,1109,Strata,01 to 05,1353,12-Mar
3218,GALLOP GREEN,WOOLLERTON PARK,Condominium,10,CCR,Freehold,1,5684800,2992,Strata,01 to 05,1900,12-Mar
3219,AVALON,ANDERSON ROAD,Condominium,10,CCR,Freehold,1,2628000,1582,Strata,06 to 10,1661,12-Mar
3220,THE TRIZON,RIDGEWOOD CLOSE,Condominium,10,CCR,Freehold,1,3380000,2314,Strata,16 to 20,1461,12-Mar
3221,SPRING GROVE,GRANGE ROAD,Condominium,10,CCR,99 yrs lease commencing from 1991,1,1600000,1012,Strata,11 to 15,1581,12-Mar
3222,THE SERENADE @ HOLLAND,HOLLAND ROAD,Condominium,10,CCR,99 yrs lease commencing from 2001,1,3830000,3746,Strata,16 to 20,1022,12-Mar
3223,SOMMERVILLE PARK,FARRER DRIVE,Condominium,10,CCR,Freehold,1,3000000,1948,Strata,11 to 15,1540,12-Mar
3224,NATHAN RESIDENCES,NATHAN ROAD,Apartment,10,CCR,Freehold,1,885000,592,Strata,01 to 05,1495,12-Mar
3225,RESIDENTIAL APARTMENTS,DRAYCOTT DRIVE,Apartment,10,CCR,Freehold,1,2815000,1442,Strata,11 to 15,1952,12-Mar
3226,JERVOIS JADE APARTMENTS,JERVOIS CLOSE,Apartment,10,CCR,99 yrs lease commencing from 1998,1,1580000,1496,Strata,06 to 10,1056,12-Mar
3227,MUTIARA VIEW,JALAN MUTIARA,Apartment,10,CCR,Freehold,1,1500000,1173,Strata,01 to 05,1278,12-Mar
3228,SIGNATURE AT LEWIS,LEWIS ROAD,Apartment,10,CCR,Freehold,1,1460000,980,Strata,01 to 05,1491,12-Mar
3229,THE ASTON,KAY POH ROAD,Apartment,10,CCR,Freehold,1,1010000,678,Strata,11 to 15,1489,12-Mar
3230,MILL POINT,ZION CLOSE,Apartment,10,CCR,999 yrs lease commencing from 1877,1,1450000,915,Strata,11 to 15,1585,12-Mar
3231,NATHAN RESIDENCES,NATHAN ROAD,Apartment,10,CCR,Freehold,1,1200000,786,Strata,06 to 10,1527,12-Mar
3232,SIGNATURE AT LEWIS,LEWIS ROAD,Apartment,10,CCR,Freehold,1,1560000,980,Strata,01 to 05,1593,12-Mar
3233,SHANGHAI ONE,SHANGHAI ROAD,Apartment,10,CCR,Freehold,1,1567020,1066,Strata,01 to 05,1471,12-Mar
3234,LATITUDE,JALAN MUTIARA,Condominium,10,CCR,Freehold,1,5830600,2928,Strata,01 to 05,1991,12-Mar
3235,BALMORAL GATE,BALMORAL ROAD,Condominium,10,CCR,Freehold,1,1860000,1259,Strata,06 to 10,1477,12-Mar
3236,RV SUITES,RIVER VALLEY ROAD,Apartment,10,CCR,Freehold,1,890000,538,Strata,01 to 05,1654,12-Mar
3237,HOLLAND HILL LODGE,HOLLAND HILL,Apartment,10,CCR,Freehold,1,1130000,1066,Strata,01 to 05,1060,12-Mar
3238,SOMMERVILLE PARK,FARRER DRIVE,Condominium,10,CCR,Freehold,1,2090000,1302,Strata,11 to 15,1605,12-Mar
3239,THE TESSARINA,WILBY ROAD,Condominium,10,CCR,Freehold,1,2160000,1615,Strata,01 to 05,1338,12-Mar
3240,CHATELET,MARGOLIOUTH ROAD,Condominium,10,CCR,Freehold,1,1500000,1130,Strata,11 to 15,1327,12-Mar
3241,HOLLAND HILL PARK,HOLLAND HILL,Condominium,10,CCR,Freehold,1,1850000,1410,Strata,01 to 05,1312,12-Mar
3242,SOMMERVILLE PARK,FARRER DRIVE,Condominium,10,CCR,Freehold,1,2900000,1948,Strata,06 to 10,1488,12-Mar
3243,SHEARES VILLE,HOLT ROAD,Apartment,10,CCR,Freehold,1,1985000,1399,Strata,06 to 10,1419,12-Mar
3244,THE LEGACY,BUKIT TIMAH ROAD,Apartment,10,CCR,Freehold,1,2920000,2594,Strata,06 to 10,1126,12-Mar
3245,BELMOND GREEN,BALMORAL ROAD,Condominium,10,CCR,Freehold,1,1820000,1259,Strata,01 to 05,1445,12-Mar
3246,RV SUITES,RIVER VALLEY ROAD,Apartment,10,CCR,Freehold,1,900000,560,Strata,01 to 05,1608,12-Mar
3247,GALLOP GREEN,WOOLLERTON PARK,Condominium,10,CCR,Freehold,1,5992600,3154,Strata,01 to 05,1900,12-Mar
3248,PALM SPRING,EWE BOON ROAD,Condominium,10,CCR,Freehold,1,2630000,2034,Strata,01 to 05,1293,12-Mar
3249,TANGLIN REGENCY,TANGLIN ROAD,Condominium,10,CCR,99 yrs lease commencing from 1994,1,960000,710,Strata,06 to 10,1351,12-Mar
3250,THE TRIZON,RIDGEWOOD CLOSE,Condominium,10,CCR,Freehold,1,1660000,1044,Strata,06 to 10,1590,12-Mar
3251,MILL POINT,ZION CLOSE,Apartment,10,CCR,999 yrs lease commencing from 1877,1,1835000,1324,Strata,16 to 20,1386,12-Mar
3252,PARK HOUSE,ORCHARD BOULEVARD,Apartment,10,CCR,Freehold,1,2980000,1572,Strata,06 to 10,1896,12-Mar
3253,CLIFTEN,EWE BOON ROAD,Apartment,10,CCR,Freehold,1,1800000,1184,Strata,06 to 10,1520,12-Mar
3254,ALLSWORTH PARK,HOLLAND ROAD,Condominium,10,CCR,999 yrs lease commencing from 1885,1,2710000,1959,Strata,11 to 15,1383,12-Mar
3255,RIDGEWOOD,MOUNT SINAI RISE,Condominium,10,CCR,999 yrs lease commencing from 1885,1,2000000,1744,Strata,21 to 25,1147,12-Mar
3256,JADE MANSION,LEEDON ROAD,Condominium,10,CCR,Freehold,1,3830000,2723,Strata,06 to 10,1406,12-Mar
3257,BALMORAL CREST,BALMORAL CRESCENT,Apartment,10,CCR,Freehold,1,1870000,1098,Strata,06 to 10,1703,12-Mar
3258,VIZ AT HOLLAND,QUEENSWAY,Condominium,10,CCR,Freehold,1,1160000,861,Strata,06 to 10,1347,12-Mar
3259,HOLLAND COURT,HOLLAND ROAD,Apartment,10,CCR,Freehold,1,2630000,1948,Strata,01 to 05,1350,12-Mar
3260,SPRING GROVE,GRANGE ROAD,Condominium,10,CCR,99 yrs lease commencing from 1991,1,1650000,1012,Strata,01 to 05,1631,12-Mar
3261,SPRING GROVE,GRANGE ROAD,Condominium,10,CCR,99 yrs lease commencing from 1991,1,1620000,1012,Strata,06 to 10,1601,12-Mar
3262,GOODWOOD GARDENS,BALMORAL CRESCENT,Apartment,10,CCR,Freehold,1,1830000,1076,Strata,06 to 10,1700,12-Mar
3263,THE SIXTH AVENUE RESIDENCES,SIXTH AVENUE,Condominium,10,CCR,Freehold,1,2200000,1356,Strata,01 to 05,1622,12-Mar
3264,VALLEY PARK,RIVER VALLEY ROAD,Condominium,10,CCR,999 yrs lease commencing from 1877,1,1700000,1216,Strata,11 to 15,1398,12-Mar
3265,FOUR SEASONS PARK,CUSCADEN WALK,Condominium,10,CCR,Freehold,1,5700000,2260,Strata,06 to 10,2522,12-Mar
3266,HOLLAND HILL PARK,HOLLAND HILL,Condominium,10,CCR,Freehold,1,1965000,1550,Strata,01 to 05,1268,12-Mar
3267,THE MERCURY,SHANGHAI ROAD,Apartment,10,CCR,Freehold,1,950000,635,Strata,01 to 05,1496,12-Mar
3268,FIFTH AVENUE CONDOMINIUM,FIFTH AVENUE,Condominium,10,CCR,Freehold,1,2480000,1615,Strata,01 to 05,1536,12-Mar
3269,ARDMORE II,ARDMORE PARK,Condominium,10,CCR,Freehold,1,5200000,2024,Strata,16 to 20,2570,12-Mar
3270,THE MERCURY,SHANGHAI ROAD,Apartment,10,CCR,Freehold,1,1047000,635,Strata,16 to 20,1649,12-Mar
3271,ONE TREE HILL MANSIONS,ONE TREE HILL,Apartment,10,CCR,99 yrs lease commencing from 1973,1,1780000,1615,Strata,11 to 15,1102,12-Mar
3272,THE SERENADE @ HOLLAND,HOLLAND ROAD,Condominium,10,CCR,99 yrs lease commencing from 2001,1,1670000,1539,Strata,11 to 15,1085,12-Mar
3273,ONE TREE HILL MANSIONS,ONE TREE HILL,Apartment,10,CCR,99 yrs lease commencing from 1973,1,1795000,1615,Strata,11 to 15,1112,12-Mar
3274,TULIP GARDEN,FARRER ROAD,Condominium,10,CCR,Freehold,1,2150000,1701,Strata,06 to 10,1264,12-Mar
3275,DUCHESS CREST,DUCHESS AVENUE,Condominium,10,CCR,99 yrs lease commencing from 1995,1,2000000,1701,Strata,01 to 05,1176,12-Mar
3276,WARNER COURT,HOLLAND AVENUE,Apartment,10,CCR,Freehold,1,1750000,1206,Strata,01 to 05,1452,12-Mar
3277,JADE MANSION,LEEDON ROAD,Condominium,10,CCR,Freehold,1,3680000,2723,Strata,06 to 10,1351,12-Mar
3278,D'LEEDON,LEEDON HEIGHTS,Condominium,10,CCR,99 yrs lease commencing from 2010,1,1724200,1076,Strata,06 to 10,1602,12-Mar
3279,PALM SPRING,EWE BOON ROAD,Condominium,10,CCR,Freehold,1,2893800,2067,Strata,01 to 05,1400,12-Mar
3280,SOMMERVILLE PARK,FARRER DRIVE,Condominium,10,CCR,Freehold,1,1038000,624,Strata,06 to 10,1663,12-Mar
3281,THE MERCURY,SHANGHAI ROAD,Apartment,10,CCR,Freehold,1,1670000,1044,Strata,06 to 10,1599,12-Mar
3282,WOOLLERTON PARK,WOOLLERTON PARK,Apartment,10,CCR,Freehold,2,5100000,3240,Strata,01 to 05,1574,12-Mar
3283,NATHAN RESIDENCES,NATHAN ROAD,Apartment,10,CCR,Freehold,1,920000,592,Strata,11 to 15,1554,12-Mar
3284,THE MERCURY,SHANGHAI ROAD,Apartment,10,CCR,Freehold,1,1510000,1044,Strata,01 to 05,1446,12-Mar
3285,MILL POINT,ZION CLOSE,Apartment,10,CCR,999 yrs lease commencing from 1877,1,1566000,1044,Strata,06 to 10,1500,12-Mar
3286,THE CORNWALL,CORNWALL GARDENS,Condominium,10,CCR,Freehold,1,1400000,883,Strata,01 to 05,1586,12-Mar
3287,REGENCY PARK,NATHAN ROAD,Condominium,10,CCR,Freehold,1,5350000,3175,Strata,16 to 20,1685,12-Mar
3288,ALLSWORTH PARK,HOLLAND ROAD,Condominium,10,CCR,999 yrs lease commencing from 1885,1,1350000,1033,Strata,06 to 10,1306,12-Mar
3289,ONE JERVOIS,JERVOIS CLOSE,Condominium,10,CCR,Freehold,1,1500000,990,Strata,01 to 05,1515,12-Mar
3290,STUDIO 3,SHANGHAI ROAD,Apartment,10,CCR,Freehold,1,1630000,1528,Strata,16 to 20,1066,12-Mar
3291,BEAUFORT ON NASSIM,NASSIM ROAD,Condominium,10,CCR,Freehold,1,3600000,1496,Strata,01 to 05,2406,12-Mar
3292,VIZ AT HOLLAND,QUEENSWAY,Condominium,10,CCR,Freehold,1,1328000,861,Strata,06 to 10,1542,12-Mar
3293,GRANGE RESIDENCES,GRANGE ROAD,Condominium,10,CCR,Freehold,1,6900000,2583,Strata,06 to 10,2671,12-Mar
3294,KUM HING COURT,TOMLINSON ROAD,Apartment,10,CCR,Freehold,1,3235000,1625,Strata,06 to 10,1990,12-Mar
3295,ST REGIS RESIDENCES SINGAPORE,TANGLIN ROAD,Apartment,10,CCR,999 yrs lease commencing from 1995,1,4900000,2142,Strata,01 to 05,2288,12-Mar
3296,ROYALVILLE,BUKIT TIMAH ROAD,Condominium,10,CCR,Freehold,1,1720000,1238,Strata,01 to 05,1389,12-Mar
3297,THE MERCURY,SHANGHAI ROAD,Apartment,10,CCR,Freehold,1,1500000,1044,Strata,06 to 10,1437,12-Mar
3298,CLIFTEN,EWE BOON ROAD,Apartment,10,CCR,Freehold,1,1680000,1066,Strata,11 to 15,1577,12-Mar
3299,THE TESSARINA,WILBY ROAD,Condominium,10,CCR,Freehold,1,1800000,1335,Strata,06 to 10,1349,12-Mar
3300,8 NAPIER,NAPIER ROAD,Condominium,10,CCR,Freehold,1,6500000,2013,Strata,06 to 10,3229,12-Mar
3301,FIFTH AVENUE CONDOMINIUM,FIFTH AVENUE,Condominium,10,CCR,Freehold,1,2700000,1496,Strata,01 to 05,1805,12-Mar
3302,CLIFTEN,EWE BOON ROAD,Apartment,10,CCR,Freehold,1,1470000,1066,Strata,06 to 10,1379,12-Mar
3303,THE HORIZON,HOLT ROAD,Condominium,10,CCR,Freehold,1,2400000,1722,Strata,06 to 10,1394,12-Mar
3304,CHELSEA GARDENS,WALSHE ROAD,Condominium,10,CCR,Freehold,1,3800000,2508,Strata,01 to 05,1515,12-Mar
3305,D'LEEDON,LEEDON HEIGHTS,Condominium,10,CCR,99 yrs lease commencing from 2010,1,1130200,635,Strata,21 to 25,1780,12-Mar
3306,THE TESSARINA,WILBY ROAD,Condominium,10,CCR,Freehold,1,1490000,1152,Strata,01 to 05,1294,12-Mar
3307,SPRING GROVE,GRANGE ROAD,Condominium,10,CCR,99 yrs lease commencing from 1991,1,1550000,1012,Strata,06 to 10,1532,12-Mar
3308,MONTVIEW,MOUNT SINAI DRIVE,Condominium,10,CCR,Freehold,1,1900000,1227,Strata,21 to 25,1548,12-Mar
3309,STUDIO 3,SHANGHAI ROAD,Apartment,10,CCR,Freehold,1,1450000,1044,Strata,16 to 20,1389,12-Feb
3310,D'LEEDON,LEEDON HEIGHTS,Condominium,10,CCR,99 yrs lease commencing from 2010,1,1092600,635,Strata,16 to 20,1720,12-Feb
3311,THE DRAYCOTT,DRAYCOTT PARK,Apartment,10,CCR,Freehold,1,4380000,2637,Strata,06 to 10,1661,12-Feb
3312,D'LEEDON,LEEDON HEIGHTS,Condominium,10,CCR,99 yrs lease commencing from 2010,1,1130200,635,Strata,21 to 25,1780,12-Feb
3313,D'LEEDON,LEEDON HEIGHTS,Condominium,10,CCR,99 yrs lease commencing from 2010,1,1130200,635,Strata,21 to 25,1780,12-Feb
3314,BELMOND GREEN,BALMORAL ROAD,Condominium,10,CCR,Freehold,1,2297750,1313,Strata,06 to 10,1750,12-Feb
3315,THE ORANGE GROVE,ORANGE GROVE ROAD,Condominium,10,CCR,Freehold,1,5205600,2336,Strata,01 to 05,2229,12-Feb
3316,THE TESSARINA,WILBY ROAD,Condominium,10,CCR,Freehold,1,1320000,990,Strata,01 to 05,1333,12-Feb
3317,ZENITH,ZION ROAD,Apartment,10,CCR,999 yrs lease commencing from 1877,1,1060000,592,Strata,11 to 15,1790,12-Feb
3318,ASTRID MEADOWS,CORONATION ROAD WEST,Condominium,10,CCR,Freehold,1,4132800,2583,Strata,01 to 05,1600,12-Feb
3319,PARVIS,HOLLAND HILL,Condominium,10,CCR,Freehold,1,1700000,990,Strata,06 to 10,1717,12-Feb
3320,NATHAN RESIDENCES,NATHAN ROAD,Apartment,10,CCR,Freehold,1,1260000,786,Strata,06 to 10,1604,12-Feb
3321,ST REGIS RESIDENCES SINGAPORE,TANGLIN ROAD,Apartment,10,CCR,999 yrs lease commencing from 1995,1,4900000,2121,Strata,11 to 15,2311,12-Feb
3322,CYAN,KENG CHIN ROAD,Condominium,10,CCR,Freehold,1,1250000,689,Strata,01 to 05,1814,12-Feb
3323,VALLEY PARK,RIVER VALLEY ROAD,Condominium,10,CCR,999 yrs lease commencing from 1877,1,1210000,818,Strata,11 to 15,1479,12-Feb
3324,THE MERCURY,SHANGHAI ROAD,Apartment,10,CCR,Freehold,1,980000,635,Strata,06 to 10,1543,12-Feb
3325,LATITUDE,JALAN MUTIARA,Condominium,10,CCR,Freehold,1,2912700,1324,Strata,06 to 10,2200,12-Feb
3326,CASABELLA,DUCHESS AVENUE,Condominium,10,CCR,Freehold,1,2280000,1582,Strata,01 to 05,1441,12-Feb
3327,YING MANSIONS,ROBIN ROAD,Apartment,10,CCR,Freehold,8,54000000,20753,Strata,01 to 05,2602,12-Feb
3328,ST MARTIN'S APARTMENT,ST. MARTIN'S DRIVE,Apartment,10,CCR,Freehold,1,1480000,926,Strata,01 to 05,1599,12-Feb
3329,VALLEY PARK,RIVER VALLEY ROAD,Condominium,10,CCR,999 yrs lease commencing from 1877,1,5380000,3272,Strata,11 to 15,1644,12-Feb
3330,SPRING GROVE,GRANGE ROAD,Condominium,10,CCR,99 yrs lease commencing from 1991,1,1980000,1389,Strata,01 to 05,1426,12-Feb
3331,VALLEY PARK,RIVER VALLEY ROAD,Condominium,10,CCR,999 yrs lease commencing from 1877,1,1170800,818,Strata,06 to 10,1431,12-Feb
3332,KUM HING COURT,TOMLINSON ROAD,Apartment,10,CCR,Freehold,1,3100000,1625,Strata,06 to 10,1907,12-Feb
3333,THE TESSARINA,WILBY ROAD,Condominium,10,CCR,Freehold,1,1650000,1313,Strata,01 to 05,1256,12-Feb
3334,PARC STEVENS,STEVENS DRIVE,Condominium,10,CCR,Freehold,1,3250000,1722,Strata,01 to 05,1887,12-Feb
3335,D'LEEDON,LEEDON HEIGHTS,Condominium,10,RCR,99 yrs lease commencing from 2010,1,1074400,635,Strata,21 to 25,1692,12-Feb
3336,MUTIARA CREST,JALAN MUTIARA,Apartment,10,CCR,Freehold,1,1830000,1313,Strata,11 to 15,1394,12-Feb
3337,BALMORAL HEIGHTS,BALMORAL CRESCENT,Apartment,10,CCR,Freehold,1,1420000,926,Strata,01 to 05,1534,12-Feb
3338,J C DRAYCOTT,DRAYCOTT DRIVE,Apartment,10,CCR,Freehold,1,1600000,797,Strata,06 to 10,2009,12-Feb
3339,DUCHESS CREST,DUCHESS AVENUE,Condominium,10,CCR,99 yrs lease commencing from 1995,1,2035000,1711,Strata,01 to 05,1189,12-Feb
3340,BELLERIVE,KENG CHIN ROAD,Apartment,10,CCR,Freehold,1,1700000,1001,Strata,06 to 10,1698,12-Feb
3341,D'LEEDON,LEEDON HEIGHTS,Condominium,10,CCR,99 yrs lease commencing from 2010,1,1403500,915,Strata,06 to 10,1534,12-Feb
3342,ARDMORE PARK,ARDMORE PARK,Condominium,10,CCR,Freehold,1,10500000,2885,Strata,26 to 30,3640,12-Feb
3343,THE LEVELZ,FARRER ROAD,Condominium,10,CCR,Freehold,1,1500000,1001,Strata,06 to 10,1498,12-Feb
3344,CASA JERVOIS,JERVOIS ROAD,Apartment,10,CCR,Freehold,1,1950000,1593,Strata,01 to 05,1224,12-Feb
3345,REGENCY LODGE,SHANGHAI ROAD,Apartment,10,CCR,Freehold,1,1550000,1281,Strata,01 to 05,1210,12-Feb
3346,QUEENSBERRY LODGE,SHANGHAI ROAD,Apartment,10,CCR,Freehold,1,2150000,1851,Strata,06 to 10,1161,12-Feb
3347,THE LEVELZ,FARRER ROAD,Condominium,10,CCR,Freehold,1,1220000,786,Strata,01 to 05,1553,12-Feb
3348,ST REGIS RESIDENCES SINGAPORE,TANGLIN ROAD,Apartment,10,CCR,999 yrs lease commencing from 1995,1,11700000,5543,Strata,16 to 20,2111,12-Feb
3349,NATHAN RESIDENCES,NATHAN ROAD,Apartment,10,CCR,Freehold,1,888000,592,Strata,01 to 05,1500,12-Feb
3350,THE MERCURY,SHANGHAI ROAD,Apartment,10,CCR,Freehold,1,1530000,1044,Strata,06 to 10,1465,12-Feb
3351,BELMOND GREEN,BALMORAL ROAD,Condominium,10,CCR,Freehold,1,2300000,1313,Strata,06 to 10,1751,12-Feb
3352,THE COTERIE @ HOLLAND,HOLLAND ROAD,Apartment,10,CCR,Freehold,1,968690,463,Strata,01 to 05,2093,12-Feb
3353,D'LEEDON,LEEDON HEIGHTS,Condominium,10,CCR,99 yrs lease commencing from 2010,1,1701600,1076,Strata,16 to 20,1581,12-Feb
3354,FOUR SEASONS PARK,CUSCADEN WALK,Condominium,10,CCR,Freehold,1,5700000,2260,Strata,11 to 15,2522,12-Feb
3355,THE ESTORIL,HOLLAND ROAD,Apartment,10,CCR,Freehold,1,2400000,2088,Strata,01 to 05,1149,12-Feb
3356,THE ELEMENT @ STEVENS,STEVENS ROAD,Apartment,10,RCR,Freehold,1,1670000,1324,Strata,01 to 05,1261,12-Feb
3357,JERVOIS JADE APARTMENTS,JERVOIS CLOSE,Apartment,10,CCR,99 yrs lease commencing from 1998,1,1500000,1496,Strata,16 to 20,1003,12-Feb
